a ,b,c
LogisticRegression,0.7,"['pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['alcohol', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.7,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'chlorides']"
RandomForestClassifier,0.7,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.7,"['pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.7,"['pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.7,"['pH', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.7,"['pH', 'sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.7,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.7,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['pH', 'chlorides']"
LogisticRegression,0.695,"['citric acid', 'chlorides']"
RandomForestClassifier,0.695,"['citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'citric acid', 'chlorides']"
RandomForestClassifier,0.695,"['pH', 'residual sugar', 'chlorides']"
LogisticRegression,0.695,"['sulphates', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['citric acid', 'density', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'sulphates', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'chlorides']"
