a,b,c
SVC gamma,0.492,"['residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.492,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.492,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.492,"['residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.492,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.492,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.492,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.492,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'citric acid', 'residual sugar', 'alcohol']"
RandomForestClassifier,0.492,"['citric acid', 'residual sugar', 'density', 'alcohol']"
RandomForestClassifier,0.492,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.492,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.492,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'citric acid', 'density', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['citric acid', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
