a,b,c
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.49,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.49,"['fixed acidity', 'volatile acidity', 'density', 'alcohol']"
RandomForestClassifier,0.49,"['residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.49,"['fixed acidity', 'residual sugar', 'density', 'pH', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.488,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['volatile acidity', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['citric acid', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.488,"['citric acid', 'residual sugar', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.488,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.488,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.486,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.486,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.486,"['free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.486,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH']"
RandomForestClassifier,0.486,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.486,"['residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.486,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.486,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.486,"['volatile acidity', 'citric acid', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.486,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.486,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.486,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.486,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
